t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
423.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
428.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
433.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
438.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
443.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
448.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
450.4,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
454.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
459.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
464.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
469.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
474.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
479.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
482.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
486.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
491.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
496.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
501.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
506.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
511.3,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
514.8,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
517.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
522.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
527.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
532.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
537.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
542.7,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
547.2,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
549.1,-2.901,1.144,-2.767,1.220,60.266,0.155,5.83
