t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,0.000,0.000,72.957,0.000,0.00
10.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
12.1,0.002,0.000,0.001,0.000,72.959,0.001,0.00
17.1,0.003,0.000,0.001,0.000,72.960,0.003,0.00
22.1,0.012,-0.001,0.001,0.000,72.963,0.011,0.01
27.1,0.013,0.005,0.001,0.000,72.969,0.013,0.01
32.1,-0.118,0.135,-0.128,0.122,72.999,0.017,0.19
37.1,-0.303,0.312,-0.311,0.296,73.035,0.018,0.45
42.1,-0.361,0.370,-0.377,0.358,73.049,0.019,0.54
44.2,-0.360,0.371,-0.377,0.358,73.050,0.021,0.54
49.1,-0.359,0.371,-0.377,0.358,73.051,0.022,0.54
54.1,-0.363,0.375,-0.377,0.358,73.052,0.022,0.54
59.1,-0.370,0.383,-0.377,0.358,73.054,0.025,0.55
64.1,-0.456,0.592,-0.459,0.566,73.176,0.027,0.77
69.1,-0.553,0.838,-0.554,0.807,73.321,0.031,1.04
74.1,-0.649,1.082,-0.652,1.055,73.466,0.027,1.30
76.5,-0.694,1.196,-0.696,1.167,73.534,0.030,1.43
81.2,-0.785,1.427,-0.787,1.397,73.673,0.030,1.67
86.2,-0.822,1.513,-0.820,1.482,73.723,0.030,1.77
91.2,-0.820,1.512,-0.821,1.482,73.723,0.030,1.77
96.2,-0.829,1.513,-0.821,1.482,73.718,0.031,1.77
101.2,-0.906,1.410,-0.873,1.367,73.590,0.054,1.90
106.2,-1.035,1.294,-0.980,1.234,73.422,0.081,2.07
108.7,-1.120,1.219,-1.060,1.154,73.312,0.088,2.19
113.3,-1.273,1.079,-1.214,1.010,73.110,0.091,2.40
118.3,-1.440,0.925,-1.382,0.855,72.889,0.091,2.62
123.3,-1.568,0.808,-1.509,0.738,72.719,0.091,2.80
128.3,-1.634,0.748,-1.573,0.678,72.633,0.093,2.88
133.3,-1.761,0.628,-1.700,0.558,72.462,0.093,3.06
138.3,-1.896,0.500,-1.836,0.429,72.280,0.094,3.24
141.0,-1.970,0.429,-1.907,0.361,72.180,0.093,3.35
145.4,-2.079,0.326,-2.016,0.257,72.033,0.093,3.50
150.4,-2.231,0.181,-2.170,0.110,71.828,0.093,3.71
155.4,-2.373,0.045,-2.314,-0.027,71.636,0.093,3.91
160.4,-2.468,-0.045,-2.405,-0.114,71.509,0.094,4.04
165.4,-2.610,-0.182,-2.546,-0.251,71.315,0.094,4.23
170.4,-2.733,-0.302,-2.672,-0.374,71.147,0.095,4.40
173.2,-2.820,-0.387,-2.757,-0.456,71.028,0.094,4.52
177.4,-2.959,-0.522,-2.897,-0.592,70.838,0.095,4.73
182.4,-3.127,-0.685,-3.064,-0.755,70.609,0.094,4.96
187.4,-3.289,-0.841,-3.227,-0.914,70.389,0.095,5.18
192.4,-3.459,-1.008,-3.396,-1.080,70.155,0.095,5.42
197.4,-3.631,-1.178,-3.568,-1.249,69.919,0.095,5.66
202.4,-3.800,-1.344,-3.737,-1.415,69.686,0.095,5.89
205.5,-3.896,-1.439,-3.833,-1.510,69.554,0.095,6.03
209.5,-4.031,-1.571,-3.970,-1.644,69.369,0.096,6.23
214.5,-4.201,-1.739,-4.138,-1.810,69.136,0.096,6.46
219.5,-4.368,-1.905,-4.305,-1.976,68.905,0.095,6.70
224.5,-4.536,-2.071,-4.472,-2.141,68.673,0.095,6.93
229.5,-4.706,-2.239,-4.643,-2.311,68.439,0.095,7.17
234.5,-4.868,-2.400,-4.807,-2.474,68.215,0.096,7.40
237.7,-4.975,-2.506,-4.913,-2.578,68.068,0.096,7.55
241.6,-5.102,-2.632,-5.039,-2.704,67.893,0.096,7.73
246.6,-5.270,-2.800,-5.207,-2.871,67.660,0.095,7.96
251.6,-5.438,-2.966,-5.374,-3.037,67.429,0.095,8.21
256.6,-5.605,-3.132,-5.540,-3.202,67.199,0.095,8.44
261.6,-5.770,-3.297,-5.705,-3.367,66.970,0.096,8.67
266.6,-5.933,-3.459,-5.871,-3.532,66.745,0.096,8.90
270.0,-6.045,-3.571,-5.983,-3.644,66.590,0.096,9.06
273.6,-6.162,-3.688,-6.100,-3.760,66.428,0.096,9.23
278.6,-6.330,-3.855,-6.266,-3.925,66.196,0.096,9.46
283.6,-6.496,-4.021,-6.435,-4.094,65.967,0.096,9.69
288.6,-6.662,-4.187,-6.600,-4.259,65.737,0.095,9.93
293.6,-6.827,-4.351,-6.764,-4.423,65.509,0.095,10.17
298.6,-6.989,-4.512,-6.926,-4.584,65.286,0.095,10.39
302.2,-7.106,-4.630,-7.043,-4.701,65.123,0.095,10.56
305.7,-7.222,-4.745,-7.157,-4.815,64.964,0.096,10.72
310.7,-7.390,-4.913,-7.326,-4.984,64.731,0.096,10.96
315.7,-7.555,-5.079,-7.494,-5.153,64.502,0.096,11.19
320.7,-7.724,-5.248,-7.661,-5.321,64.269,0.096,11.43
325.7,-7.888,-5.413,-7.826,-5.486,64.041,0.096,11.67
330.7,-8.055,-5.580,-7.992,-5.656,63.810,0.098,11.90
334.5,-8.182,-5.711,-8.116,-5.784,63.632,0.098,12.08
337.8,-8.290,-5.824,-8.226,-5.897,63.478,0.098,12.24
342.8,-8.457,-5.997,-8.393,-6.071,63.242,0.098,12.48
347.8,-8.624,-6.170,-8.560,-6.243,63.006,0.098,12.72
352.8,-8.787,-6.337,-8.718,-6.415,62.778,0.104,12.96
357.8,-8.943,-6.517,-8.873,-6.598,62.542,0.106,13.20
362.8,-9.100,-6.704,-9.028,-6.780,62.300,0.105,13.44
366.7,-9.226,-6.853,-9.155,-6.931,62.106,0.105,13.63
369.8,-9.323,-6.968,-9.253,-7.048,61.958,0.106,13.78
374.8,-9.467,-7.134,-9.385,-7.213,61.740,0.114,14.00
379.8,-9.602,-7.331,-9.516,-7.415,61.501,0.120,14.25
384.8,-9.731,-7.538,-9.641,-7.618,61.258,0.120,14.49
389.8,-9.858,-7.745,-9.770,-7.828,61.015,0.121,14.73
394.8,-9.980,-7.933,-9.883,-8.021,60.791,0.131,14.95
399.0,-10.064,-8.105,-9.956,-8.192,60.601,0.139,15.14
401.9,-10.116,-8.235,-10.006,-8.322,60.463,0.140,15.28
406.9,-10.201,-8.462,-10.092,-8.552,60.226,0.142,15.53
411.9,-10.284,-8.676,-10.167,-8.767,60.001,0.149,15.76
416.9,-10.343,-8.885,-10.218,-8.975,59.793,0.154,15.97
421.9,-10.392,-9.106,-10.267,-9.201,59.581,0.157,16.20
426.9,-10.437,-9.322,-10.311,-9.414,59.375,0.156,16.42
431.2,-10.472,-9.511,-10.344,-9.608,59.197,0.161,16.61
434.0,-10.490,-9.642,-10.362,-9.740,59.077,0.161,16.75
439.0,-10.521,-9.887,-10.393,-9.980,58.854,0.159,16.99
444.0,-10.550,-10.124,-10.421,-10.215,58.640,0.158,17.23
449.0,-10.576,-10.363,-10.445,-10.450,58.426,0.157,17.47
454.0,-10.597,-10.607,-10.464,-10.690,58.210,0.157,17.71
459.0,-10.611,-10.813,-10.477,-10.896,58.031,0.158,17.93
463.5,-10.622,-11.009,-10.488,-11.093,57.861,0.159,18.12
466.0,-10.626,-11.114,-10.492,-11.195,57.771,0.157,18.23
471.0,-10.634,-11.334,-10.499,-11.415,57.584,0.158,18.44
476.0,-10.641,-11.547,-10.507,-11.628,57.402,0.157,18.65
481.0,-10.647,-11.771,-10.514,-11.852,57.213,0.156,18.88
486.0,-10.652,-11.993,-10.519,-12.077,57.026,0.158,19.11
491.0,-10.657,-12.225,-10.524,-12.309,56.831,0.158,19.34
495.7,-10.661,-12.445,-10.528,-12.528,56.647,0.157,19.56
498.1,-10.663,-12.556,-10.530,-12.639,56.554,0.157,19.67
503.1,-10.666,-12.778,-10.533,-12.859,56.369,0.156,19.89
508.1,-10.668,-13.002,-10.535,-13.082,56.184,0.155,20.11
513.1,-10.670,-13.214,-10.537,-13.298,56.008,0.156,20.32
518.1,-10.671,-13.441,-10.539,-13.524,55.822,0.156,20.56
523.1,-10.672,-13.660,-10.540,-13.740,55.641,0.154,20.77
528.0,-10.673,-13.877,-10.541,-13.963,55.463,0.157,20.98
530.2,-10.673,-13.976,-10.542,-14.061,55.382,0.157,21.09
535.2,-10.674,-14.193,-10.543,-14.276,55.205,0.156,21.30
540.2,-10.674,-14.412,-10.543,-14.498,55.025,0.157,21.52
545.2,-10.675,-14.640,-10.544,-14.727,54.839,0.157,21.75
550.2,-10.675,-14.846,-10.544,-14.929,54.671,0.155,21.96
555.2,-10.675,-15.064,-10.545,-15.144,54.495,0.153,22.17
560.2,-10.676,-15.292,-10.545,-15.373,54.310,0.154,22.40
562.2,-10.676,-15.382,-10.545,-15.464,54.237,0.154,22.49
567.2,-10.676,-15.625,-10.545,-15.707,54.040,0.154,22.73
572.2,-10.677,-15.872,-10.546,-15.954,53.840,0.155,22.98
577.2,-10.678,-16.117,-10.546,-16.202,53.643,0.157,23.23
582.2,-10.678,-16.370,-10.546,-16.451,53.440,0.155,23.49
587.2,-10.678,-16.613,-10.546,-16.695,53.245,0.155,23.73
592.2,-10.678,-16.864,-10.546,-16.946,53.044,0.155,23.97
594.3,-10.678,-16.968,-10.546,-17.051,52.962,0.156,24.08
599.3,-10.678,-17.211,-10.547,-17.295,52.767,0.156,24.32
604.3,-10.678,-17.460,-10.547,-17.546,52.569,0.157,24.57
609.3,-10.678,-17.711,-10.547,-17.798,52.370,0.157,24.82
614.3,-10.678,-17.964,-10.547,-18.047,52.169,0.155,25.07
619.3,-10.677,-18.222,-10.547,-18.305,51.966,0.155,25.33
624.3,-10.677,-18.478,-10.547,-18.562,51.764,0.155,25.59
626.4,-10.677,-18.583,-10.547,-18.669,51.682,0.157,25.70
631.4,-10.677,-18.840,-10.547,-18.926,51.479,0.156,25.95
636.4,-10.677,-19.098,-10.547,-19.184,51.277,0.156,26.21
641.4,-10.677,-19.354,-10.547,-19.433,51.077,0.153,26.46
646.4,-10.677,-19.609,-10.547,-19.689,50.878,0.153,26.72
651.4,-10.677,-19.851,-10.547,-19.932,50.690,0.153,26.96
656.4,-10.677,-20.102,-10.547,-20.187,50.495,0.156,27.21
658.4,-10.677,-20.207,-10.547,-20.291,50.414,0.155,27.32
663.4,-10.677,-20.461,-10.547,-20.546,50.218,0.155,27.57
668.4,-10.677,-20.714,-10.547,-20.795,50.021,0.153,27.83
673.4,-10.677,-20.961,-10.547,-21.042,49.832,0.153,28.07
678.4,-10.677,-21.171,-10.547,-21.257,49.670,0.156,28.28
683.4,-10.677,-21.402,-10.547,-21.486,49.493,0.155,28.51
688.4,-10.677,-21.640,-10.547,-21.722,49.311,0.154,28.75
690.5,-10.677,-21.739,-10.547,-21.826,49.236,0.156,28.85
695.5,-10.677,-21.976,-10.547,-22.061,49.056,0.155,29.09
700.5,-10.677,-22.214,-10.547,-22.296,48.875,0.154,29.32
705.5,-10.677,-22.456,-10.547,-22.539,48.692,0.154,29.57
710.5,-10.677,-22.666,-10.547,-22.747,48.534,0.154,29.77
715.5,-10.677,-22.888,-10.547,-22.970,48.367,0.154,30.00
720.5,-10.677,-23.113,-10.547,-23.197,48.198,0.156,30.22
722.6,-10.677,-23.210,-10.547,-23.295,48.125,0.156,30.32
727.6,-10.677,-23.451,-10.547,-23.531,47.945,0.153,30.56
732.6,-10.678,-23.694,-10.547,-23.780,47.764,0.156,30.80
737.6,-10.678,-23.914,-10.547,-23.786,47.600,0.183,31.03
742.6,-10.678,-24.114,-10.547,-23.785,47.452,0.353,31.22
747.6,-10.678,-24.333,-10.547,-23.785,47.290,0.563,31.44
752.6,-10.677,-24.557,-10.547,-23.793,47.125,0.776,31.67
754.7,-10.677,-24.655,-10.547,-23.889,47.053,0.777,31.77
759.7,-10.677,-24.871,-10.547,-24.105,46.894,0.777,31.98
764.7,-10.678,-25.083,-10.548,-24.318,46.738,0.776,32.20
769.7,-10.679,-25.319,-10.548,-24.557,46.566,0.773,32.43
774.7,-10.679,-25.550,-10.548,-24.783,46.398,0.778,32.66
779.7,-10.679,-25.736,-10.548,-24.972,46.263,0.776,32.85
784.7,-10.679,-25.933,-10.548,-25.170,46.120,0.774,33.04
786.7,-10.679,-26.013,-10.548,-25.247,46.063,0.778,33.13
791.7,-10.679,-26.205,-10.548,-25.439,45.924,0.777,33.32
796.7,-10.679,-26.398,-10.548,-25.630,45.786,0.778,33.51
801.7,-10.679,-26.593,-10.547,-25.828,45.646,0.776,33.71
806.7,-10.679,-26.786,-10.547,-26.020,45.508,0.777,33.90
811.7,-10.679,-26.962,-10.547,-26.201,45.383,0.772,34.07
816.7,-10.679,-27.146,-10.547,-26.379,45.252,0.778,34.25
818.8,-10.679,-27.215,-10.547,-26.450,45.203,0.776,34.33
823.8,-10.679,-27.399,-10.547,-26.635,45.072,0.776,34.51
828.8,-10.679,-27.592,-10.547,-26.827,44.936,0.776,34.70
833.8,-10.679,-27.785,-10.547,-27.019,44.801,0.777,34.90
838.8,-10.679,-27.981,-10.547,-27.218,44.663,0.774,35.09
843.8,-10.679,-28.177,-10.547,-27.416,44.526,0.772,35.29
848.8,-10.679,-28.370,-10.547,-27.608,44.391,0.774,35.48
850.9,-10.679,-28.450,-10.547,-27.685,44.335,0.777,35.56
855.9,-10.680,-28.645,-10.547,-27.883,44.201,0.774,35.75
860.9,-10.680,-28.830,-10.547,-28.069,44.073,0.772,35.94
865.9,-10.680,-29.020,-10.547,-28.255,43.941,0.776,36.13
870.9,-10.678,-29.210,-10.547,-28.453,43.812,0.769,36.32
875.9,-10.679,-29.387,-10.548,-28.638,43.690,0.761,36.50
880.9,-10.682,-29.576,-10.550,-28.828,43.559,0.759,36.68
882.9,-10.683,-29.656,-10.551,-28.904,43.504,0.764,36.76
887.9,-10.684,-29.844,-10.551,-29.095,43.376,0.761,36.96
892.9,-10.684,-30.032,-10.551,-29.281,43.248,0.763,37.15
897.9,-10.684,-30.220,-10.551,-29.466,43.122,0.765,37.33
902.9,-10.683,-30.408,-10.550,-29.658,42.996,0.762,37.52
907.9,-10.683,-30.584,-10.550,-29.834,42.878,0.762,37.69
912.9,-10.683,-30.766,-10.549,-30.015,42.756,0.764,37.87
915.0,-10.683,-30.842,-10.549,-30.090,42.706,0.764,37.95
920.0,-10.682,-31.019,-10.549,-30.266,42.589,0.764,38.13
925.0,-10.682,-31.209,-10.549,-30.460,42.463,0.761,38.32
930.0,-10.682,-31.395,-10.548,-30.646,42.341,0.761,38.50
935.0,-10.682,-31.582,-10.548,-30.830,42.218,0.764,38.70
940.0,-10.682,-31.775,-10.548,-31.022,42.092,0.765,38.89
945.0,-10.681,-31.967,-10.548,-31.214,41.967,0.765,39.08
947.2,-10.681,-32.054,-10.548,-31.304,41.910,0.762,39.16
952.1,-10.681,-32.222,-10.548,-31.471,41.802,0.762,39.34
957.1,-10.681,-32.401,-10.548,-31.650,41.686,0.763,39.51
962.1,-10.681,-32.587,-10.547,-31.836,41.567,0.762,39.69
967.1,-10.681,-32.780,-10.547,-32.028,41.444,0.764,39.89
972.1,-10.681,-32.974,-10.547,-32.226,41.320,0.760,40.09
977.1,-10.681,-33.163,-10.547,-32.412,41.200,0.763,40.27
979.5,-10.681,-33.256,-10.547,-32.508,41.141,0.760,40.36
984.1,-10.681,-33.435,-10.547,-32.686,41.028,0.761,40.55
989.1,-10.681,-33.621,-10.547,-32.873,40.911,0.760,40.73
994.1,-10.681,-33.815,-10.547,-33.065,40.790,0.762,40.92
999.1,-10.682,-33.991,-10.546,-33.248,40.680,0.754,41.11
1004.1,-10.682,-34.184,-10.546,-33.447,40.561,0.749,41.30
1009.1,-10.680,-34.369,-10.545,-33.630,40.448,0.751,41.48
1011.7,-10.680,-34.462,-10.545,-33.724,40.391,0.750,41.57
1016.2,-10.680,-34.626,-10.546,-33.887,40.291,0.750,41.73
1021.2,-10.680,-34.810,-10.546,-34.075,40.178,0.747,41.92
1026.2,-10.681,-34.994,-10.547,-34.258,40.065,0.749,42.11
1031.2,-10.681,-35.173,-10.548,-34.438,39.958,0.747,42.28
1036.2,-10.683,-35.364,-10.553,-34.628,39.841,0.748,42.47
1041.2,-10.688,-35.556,-10.559,-34.819,39.722,0.748,42.66
1044.0,-10.691,-35.655,-10.562,-34.923,39.661,0.744,42.77
1048.3,-10.697,-35.818,-10.567,-35.082,39.560,0.747,42.93
1053.3,-10.699,-36.004,-10.576,-35.270,39.448,0.745,43.11
1058.3,-10.713,-36.191,-10.595,-35.461,39.327,0.739,43.30
1063.3,-10.736,-36.388,-10.619,-35.657,39.193,0.741,43.50
1068.3,-10.760,-36.584,-10.643,-35.853,39.059,0.741,43.70
1073.3,-10.779,-36.770,-10.670,-36.045,38.937,0.733,43.89
1076.2,-10.795,-36.879,-10.692,-36.155,38.860,0.731,44.00
1080.3,-10.815,-37.015,-10.726,-36.311,38.766,0.709,44.13
1085.3,-10.821,-37.161,-10.756,-36.489,38.678,0.675,44.28
1090.3,-10.819,-37.297,-10.783,-36.655,38.601,0.642,44.41
1095.3,-10.805,-37.421,-10.812,-36.817,38.542,0.604,44.54
1100.3,-10.801,-37.535,-10.851,-36.975,38.481,0.563,44.65
1105.3,-10.804,-37.638,-10.888,-37.134,38.421,0.511,44.76
1108.5,-10.800,-37.702,-10.911,-37.228,38.388,0.487,44.82
1112.4,-10.799,-37.775,-10.941,-37.348,38.348,0.450,44.89
1117.4,-10.799,-37.862,-10.976,-37.488,38.300,0.414,44.98
1122.4,-10.797,-37.935,-11.010,-37.621,38.260,0.379,45.05
1127.4,-10.796,-38.007,-11.044,-37.753,38.221,0.355,45.12
1132.4,-10.797,-38.074,-11.074,-37.868,38.183,0.345,45.20
1137.4,-10.797,-38.139,-11.074,-37.868,38.147,0.387,45.26
1140.7,-10.797,-38.182,-11.074,-37.868,38.123,0.418,45.31
1144.5,-10.796,-38.229,-11.074,-37.868,38.098,0.455,45.35
1149.5,-10.794,-38.296,-11.074,-37.868,38.063,0.511,45.42
1154.5,-10.794,-38.361,-11.074,-37.868,38.028,0.566,45.49
1159.5,-10.788,-38.406,-11.074,-37.868,38.008,0.609,45.54
1164.5,-10.733,-38.213,-11.074,-37.868,38.160,0.485,45.74
1169.5,-10.676,-38.015,-11.074,-37.868,38.316,0.424,45.94
1173.0,-10.636,-37.875,-11.074,-37.868,38.428,0.438,46.09
1176.5,-10.636,-37.852,-11.074,-37.868,38.440,0.438,46.12
1181.5,-10.674,-37.865,-11.074,-37.868,38.401,0.399,46.16
1186.5,-10.693,-37.874,-11.074,-37.868,38.381,0.381,46.18
1191.5,-10.662,-37.871,-11.074,-37.868,38.408,0.412,46.20
1196.5,-10.626,-37.859,-11.074,-37.868,38.444,0.448,46.24
1201.5,-10.590,-37.849,-11.074,-37.868,38.480,0.484,46.28
1205.3,-10.581,-37.828,-11.074,-37.868,38.499,0.494,46.30
1208.6,-10.583,-37.809,-11.074,-37.868,38.508,0.495,46.32
1213.6,-10.606,-37.823,-11.100,-37.892,38.482,0.499,46.35
1218.6,-10.646,-37.839,-11.149,-37.924,38.439,0.511,46.40
1223.6,-10.709,-37.851,-11.215,-37.952,38.380,0.515,46.46
1228.6,-10.781,-37.866,-11.280,-37.974,38.313,0.511,46.54
1233.6,-10.858,-37.888,-11.356,-37.997,38.236,0.510,46.62
1237.5,-10.918,-37.906,-11.417,-38.016,38.177,0.511,46.68
1240.7,-10.966,-37.921,-11.465,-38.030,38.128,0.511,46.73
1245.7,-11.040,-37.943,-11.539,-38.053,38.054,0.511,46.80
1250.7,-11.110,-37.964,-11.608,-38.073,37.984,0.510,46.88
1255.7,-11.184,-37.986,-11.682,-38.095,37.911,0.510,46.95
1260.7,-11.256,-38.008,-11.754,-38.117,37.839,0.510,47.03
1265.7,-11.328,-38.029,-11.825,-38.138,37.768,0.509,47.10
1269.7,-11.376,-38.044,-11.875,-38.154,37.719,0.511,47.15
1272.7,-11.412,-38.056,-11.911,-38.169,37.683,0.511,47.19
1277.7,-11.468,-38.082,-11.967,-38.196,37.623,0.512,47.25
1282.7,-11.528,-38.114,-12.026,-38.229,37.554,0.511,47.32
1287.7,-11.590,-38.149,-12.088,-38.264,37.483,0.511,47.39
1292.7,-11.653,-38.186,-12.152,-38.301,37.411,0.512,47.46
1297.7,-11.714,-38.221,-12.212,-38.336,37.340,0.511,47.53
1302.0,-11.770,-38.253,-12.268,-38.368,37.276,0.511,47.60
1304.8,-11.807,-38.275,-12.304,-38.389,37.233,0.510,47.64
1309.8,-11.875,-38.315,-12.373,-38.429,37.154,0.511,47.72
1314.8,-11.945,-38.355,-12.443,-38.470,37.074,0.511,47.81
1319.8,-11.995,-38.384,-12.494,-38.499,37.016,0.512,47.87
1324.8,-12.055,-38.419,-12.553,-38.534,36.947,0.511,47.94
1329.8,-12.116,-38.454,-12.613,-38.569,36.877,0.511,48.00
1334.3,-12.177,-38.490,-12.676,-38.605,36.807,0.512,48.07
1336.9,-12.211,-38.510,-12.710,-38.625,36.767,0.512,48.11
1341.9,-12.279,-38.549,-12.777,-38.664,36.689,0.512,48.19
1346.9,-12.337,-38.584,-12.836,-38.699,36.621,0.512,48.26
1351.9,-12.398,-38.626,-12.891,-38.740,36.547,0.506,48.33
1356.9,-12.451,-38.671,-12.939,-38.784,36.478,0.502,48.40
1361.9,-12.506,-38.724,-12.993,-38.837,36.403,0.500,48.48
1366.5,-12.557,-38.774,-13.043,-38.885,36.333,0.498,48.55
1368.9,-12.583,-38.800,-13.069,-38.912,36.296,0.498,48.59
1373.9,-12.633,-38.850,-13.120,-38.963,36.227,0.499,48.66
1378.9,-12.685,-38.902,-13.171,-39.014,36.155,0.499,48.73
