t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,72.957,nan,0.00
10.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
15.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
20.0,0.007,0.000,0.001,0.000,72.961,0.006,0.00
25.0,0.014,-0.000,0.001,0.000,72.965,0.014,0.01
30.0,-0.052,0.066,-0.062,0.053,72.980,0.016,0.10
35.0,-0.248,0.232,-0.256,0.218,73.002,0.016,0.36
40.0,-0.380,0.340,-0.392,0.332,73.014,0.014,0.53
45.0,-0.384,0.336,-0.392,0.333,73.007,0.008,0.53
50.0,-0.385,0.335,-0.392,0.333,73.007,0.007,0.54
55.0,-0.390,0.341,-0.392,0.333,73.008,0.009,0.54
60.0,-0.409,0.373,-0.401,0.355,73.024,0.020,0.58
65.0,-0.498,0.598,-0.489,0.577,73.156,0.022,0.82
70.0,-0.599,0.852,-0.590,0.832,73.307,0.022,1.10
75.0,-0.696,1.100,-0.687,1.080,73.454,0.022,1.36
80.0,-0.802,1.367,-0.795,1.353,73.614,0.016,1.65
85.0,-0.849,1.481,-0.838,1.461,73.680,0.023,1.77
90.0,-0.848,1.479,-0.838,1.461,73.680,0.021,1.77
95.0,-0.863,1.483,-0.838,1.461,73.675,0.034,1.78
100.0,-0.984,1.358,-0.926,1.315,73.503,0.071,1.95
105.0,-1.162,1.196,-1.093,1.141,73.269,0.088,2.20
110.0,-1.347,1.024,-1.276,0.969,73.022,0.090,2.45
115.0,-1.535,0.848,-1.464,0.793,72.771,0.090,2.71
120.0,-1.633,0.759,-1.564,0.700,72.642,0.091,2.84
125.0,-1.809,0.592,-1.738,0.534,72.405,0.091,3.08
130.0,-1.993,0.414,-1.921,0.358,72.155,0.092,3.34
135.0,-2.166,0.249,-2.096,0.190,71.921,0.091,3.58
140.0,-2.349,0.073,-2.280,0.014,71.672,0.091,3.84
145.0,-2.473,-0.045,-2.402,-0.104,71.505,0.092,4.01
150.0,-2.659,-0.226,-2.587,-0.284,71.252,0.093,4.26
155.0,-2.841,-0.404,-2.771,-0.464,71.002,0.092,4.51
160.0,-3.026,-0.584,-2.955,-0.644,70.749,0.092,4.78
165.0,-3.212,-0.765,-3.140,-0.824,70.495,0.093,5.04
