t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,72.957,nan,0.00
10.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
15.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
20.0,0.008,-0.000,0.001,0.000,72.962,0.007,0.00
22.7,0.012,-0.001,0.001,0.000,72.963,0.011,0.01
27.1,0.013,0.003,0.001,0.000,72.968,0.013,0.01
32.1,-0.100,0.106,-0.109,0.092,72.985,0.016,0.16
37.1,-0.281,0.260,-0.292,0.247,73.005,0.016,0.40
42.1,-0.371,0.329,-0.379,0.321,73.010,0.011,0.51
47.1,-0.379,0.322,-0.379,0.321,72.999,0.000,0.53
52.1,-0.379,0.322,-0.379,0.321,72.999,0.000,0.53
55.0,-0.379,0.322,-0.379,0.321,72.999,0.001,0.53
59.1,-0.384,0.328,-0.379,0.321,73.001,0.009,0.53
64.1,-0.413,0.392,-0.399,0.375,73.036,0.022,0.60
69.1,-0.496,0.616,-0.482,0.600,73.172,0.021,0.84
74.1,-0.578,0.839,-0.565,0.825,73.307,0.019,1.08
79.1,-0.661,1.064,-0.648,1.051,73.445,0.018,1.32
84.1,-0.745,1.293,-0.733,1.281,73.585,0.017,1.57
87.2,-0.796,1.432,-0.783,1.418,73.670,0.019,1.71
91.2,-0.808,1.455,-0.791,1.439,73.683,0.024,1.74
96.2,-0.808,1.452,-0.791,1.439,73.681,0.022,1.74
101.2,-0.818,1.455,-0.791,1.439,73.677,0.032,1.75
106.2,-0.891,1.372,-0.840,1.342,73.567,0.059,1.86
111.2,-1.032,1.251,-0.958,1.202,73.388,0.088,2.04
116.2,-1.186,1.116,-1.106,1.064,73.189,0.096,2.24
119.5,-1.291,1.022,-1.211,0.970,73.053,0.096,2.39
123.3,-1.411,0.916,-1.334,0.859,72.897,0.095,2.55
128.3,-1.535,0.805,-1.459,0.748,72.736,0.095,2.72
133.3,-1.588,0.758,-1.512,0.700,72.667,0.096,2.79
138.3,-1.648,0.706,-1.570,0.647,72.590,0.098,2.87
143.3,-1.781,0.582,-1.701,0.525,72.413,0.098,3.04
148.3,-1.915,0.458,-1.834,0.401,72.235,0.099,3.23
151.7,-2.002,0.375,-1.923,0.318,72.118,0.098,3.35
