t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,62.096,nan,0.00
10.0,0.000,0.000,0.000,0.000,62.096,0.000,0.00
15.0,0.002,-0.000,0.001,-0.000,62.098,0.001,0.00
20.0,0.005,-0.000,0.001,-0.000,62.100,0.004,0.00
25.0,-0.001,-0.013,0.001,-0.000,62.089,0.013,0.01
30.0,-0.035,-0.031,0.001,-0.000,62.050,0.048,0.05
35.0,-0.077,-0.053,0.001,-0.000,62.003,0.094,0.09
40.0,-0.104,-0.065,0.001,-0.000,61.974,0.123,0.12
45.0,-0.111,-0.073,0.001,-0.000,61.963,0.134,0.13
50.0,-0.113,-0.082,0.001,-0.000,61.957,0.140,0.14
55.0,-0.115,-0.089,0.001,-0.000,61.951,0.146,0.15
60.0,-0.125,-0.103,-0.003,-0.004,61.936,0.157,0.17
65.0,-0.193,-0.161,-0.081,-0.055,61.848,0.154,0.26
70.0,-0.364,-0.245,-0.266,-0.118,61.658,0.161,0.45
75.0,-0.573,-0.291,-0.477,-0.161,61.456,0.162,0.66
80.0,-0.789,-0.328,-0.690,-0.196,61.252,0.165,0.89
85.0,-1.016,-0.363,-0.920,-0.230,61.040,0.165,1.12
90.0,-1.233,-0.388,-1.139,-0.253,60.843,0.164,1.33
95.0,-1.448,-0.409,-1.349,-0.273,60.649,0.168,1.54
100.0,-1.675,-0.429,-1.581,-0.293,60.444,0.166,1.78
105.0,-1.902,-0.448,-1.800,-0.309,60.242,0.172,2.01
110.0,-2.119,-0.461,-2.016,-0.321,60.051,0.174,2.22
115.0,-2.331,-0.472,-2.229,-0.332,59.866,0.173,2.43
120.0,-2.529,-0.481,-2.427,-0.341,59.694,0.173,2.64
125.0,-2.732,-0.488,-2.632,-0.347,59.519,0.172,2.84
130.0,-2.947,-0.494,-2.846,-0.353,59.333,0.173,3.05
135.0,-3.163,-0.500,-3.064,-0.359,59.148,0.172,3.26
140.0,-3.391,-0.506,-3.288,-0.364,58.953,0.175,3.49
145.0,-3.618,-0.510,-3.521,-0.368,58.760,0.172,3.72
150.0,-3.847,-0.513,-3.746,-0.372,58.566,0.174,3.95
155.0,-4.072,-0.516,-3.972,-0.375,58.375,0.173,4.17
160.0,-4.297,-0.519,-4.197,-0.377,58.185,0.174,4.40
165.0,-4.515,-0.521,-4.414,-0.379,58.002,0.173,4.62
170.0,-4.734,-0.523,-4.634,-0.381,57.818,0.173,4.84
175.0,-4.963,-0.524,-4.865,-0.383,57.626,0.172,5.07
180.0,-5.179,-0.525,-5.079,-0.384,57.446,0.173,5.28
185.0,-5.385,-0.526,-5.286,-0.385,57.273,0.173,5.49
190.0,-5.580,-0.527,-5.480,-0.386,57.111,0.174,5.68
195.0,-5.765,-0.528,-5.664,-0.386,56.957,0.174,5.87
200.0,-5.935,-0.529,-5.840,-0.387,56.816,0.170,6.04
205.0,-6.135,-0.529,-6.036,-0.387,56.650,0.173,6.24
210.0,-6.328,-0.530,-6.233,-0.388,56.490,0.170,6.43
215.0,-6.539,-0.530,-6.444,-0.388,56.315,0.171,6.64
220.0,-6.765,-0.530,-6.666,-0.388,56.129,0.173,6.87
225.0,-7.000,-0.529,-6.904,-0.387,55.936,0.171,7.10
230.0,-7.221,-0.529,-7.124,-0.386,55.755,0.172,7.32
235.0,-7.439,-0.525,-7.341,-0.381,55.578,0.174,7.54
240.0,-7.671,-0.518,-7.579,-0.373,55.392,0.171,7.78
245.0,-7.911,-0.509,-7.815,-0.365,55.201,0.173,8.01
250.0,-8.130,-0.493,-8.039,-0.346,55.031,0.173,8.23
255.0,-8.364,-0.462,-8.271,-0.313,54.859,0.175,8.47
