t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,72.957,nan,0.00
10.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
15.0,0.002,0.000,0.001,0.000,72.959,0.001,0.00
20.0,0.009,-0.000,0.001,0.000,72.962,0.008,0.00
25.0,0.014,0.002,0.001,0.000,72.967,0.013,0.01
30.0,-0.120,0.123,-0.128,0.109,72.987,0.016,0.18
35.0,-0.340,0.310,-0.348,0.295,73.012,0.016,0.48
40.0,-0.399,0.347,-0.407,0.345,73.008,0.008,0.55
45.0,-0.405,0.342,-0.407,0.345,73.001,0.004,0.56
50.0,-0.407,0.345,-0.407,0.345,73.002,0.000,0.56
55.0,-0.415,0.353,-0.407,0.345,73.004,0.012,0.57
60.0,-0.536,0.594,-0.523,0.582,73.131,0.018,0.84
65.0,-0.663,0.854,-0.648,0.839,73.271,0.021,1.13
70.0,-0.789,1.113,-0.777,1.103,73.412,0.015,1.42
75.0,-0.917,1.374,-0.903,1.360,73.555,0.020,1.71
80.0,-0.960,1.459,-0.944,1.445,73.600,0.022,1.80
85.0,-0.960,1.460,-0.944,1.445,73.601,0.021,1.80
90.0,-0.969,1.446,-0.946,1.437,73.584,0.024,1.82
95.0,-1.052,1.334,-1.004,1.311,73.445,0.053,1.96
100.0,-1.199,1.196,-1.129,1.158,73.249,0.080,2.16
105.0,-1.350,1.054,-1.278,1.009,73.045,0.084,2.37
110.0,-1.502,0.908,-1.427,0.865,72.840,0.086,2.58
115.0,-1.631,0.784,-1.561,0.737,72.665,0.085,2.76
120.0,-1.779,0.641,-1.704,0.598,72.463,0.087,2.96
125.0,-1.949,0.476,-1.878,0.428,72.230,0.086,3.20
130.0,-2.107,0.321,-2.034,0.275,72.014,0.086,3.43
135.0,-2.269,0.163,-2.195,0.118,71.792,0.087,3.65
140.0,-2.413,0.023,-2.342,-0.026,71.595,0.086,3.85
145.0,-2.544,-0.106,-2.471,-0.152,71.415,0.087,4.03
150.0,-2.691,-0.250,-2.615,-0.294,71.213,0.088,4.24
155.0,-2.843,-0.401,-2.768,-0.445,71.003,0.087,4.45
160.0,-3.001,-0.556,-2.929,-0.604,70.786,0.086,4.68
165.0,-3.164,-0.717,-3.092,-0.764,70.562,0.086,4.90
