t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,0.000,0.000,85.574,0.000,0.00
10.0,0.068,0.001,0.159,0.001,85.642,0.091,0.06
15.0,0.188,0.003,0.279,0.004,85.760,0.091,0.18
20.0,0.292,0.005,0.384,0.006,85.863,0.092,0.28
25.0,0.362,0.007,0.453,0.008,85.932,0.091,0.35
30.0,0.469,0.010,0.560,0.011,86.039,0.091,0.46
32.1,0.551,0.012,0.640,0.013,86.120,0.089,0.55
37.1,0.771,0.019,0.864,0.020,86.338,0.094,0.77
42.1,0.995,0.028,1.089,0.029,86.561,0.094,0.99
47.1,1.225,0.037,1.313,0.038,86.790,0.089,1.22
52.1,1.457,0.049,1.551,0.050,87.021,0.094,1.45
57.1,1.693,0.061,1.786,0.062,87.256,0.094,1.69
62.1,1.922,0.075,2.011,0.075,87.484,0.089,1.92
64.1,2.016,0.081,2.104,0.081,87.578,0.088,2.01
69.1,2.217,0.094,2.310,0.095,87.779,0.092,2.21
74.1,2.404,0.107,2.496,0.108,87.966,0.092,2.40
79.1,2.596,0.121,2.690,0.122,88.158,0.094,2.60
84.1,2.824,0.139,2.914,0.140,88.386,0.090,2.82
89.1,3.057,0.159,3.149,0.160,88.618,0.093,3.05
94.1,3.254,0.177,3.349,0.178,88.816,0.095,3.25
96.2,3.334,0.184,3.423,0.185,88.896,0.090,3.33
101.2,3.521,0.203,3.610,0.203,89.084,0.089,3.53
106.2,3.731,0.224,3.820,0.224,89.295,0.089,3.73
111.2,3.955,0.248,4.043,0.248,89.520,0.089,3.96
116.2,4.192,0.275,4.285,0.276,89.758,0.094,4.19
121.2,4.406,0.300,4.500,0.301,89.974,0.094,4.42
126.2,4.640,0.324,4.729,0.324,90.208,0.089,4.65
128.3,4.731,0.330,4.820,0.330,90.299,0.089,4.74
133.3,4.961,0.341,5.052,0.341,90.529,0.091,4.97
138.3,5.197,0.343,5.290,0.343,90.762,0.093,5.20
