t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,85.574,nan,0.00
7.1,0.000,0.000,0.000,0.000,85.574,0.000,0.00
12.1,-0.002,-0.000,-0.001,-0.000,85.573,0.001,0.00
17.1,-0.003,0.000,-0.001,-0.000,85.571,0.002,0.00
22.1,-0.002,-0.008,-0.001,-0.000,85.571,0.009,0.00
27.1,0.025,-0.029,-0.001,-0.000,85.594,0.039,0.04
32.1,0.069,-0.054,-0.001,-0.000,85.634,0.088,0.09
37.1,0.102,-0.070,-0.001,-0.000,85.664,0.124,0.13
39.3,0.110,-0.073,-0.001,-0.000,85.672,0.133,0.13
44.1,0.112,-0.082,-0.001,-0.000,85.672,0.139,0.14
49.1,0.113,-0.090,-0.001,-0.000,85.672,0.145,0.15
54.1,0.117,-0.100,-0.001,-0.000,85.674,0.154,0.16
59.1,0.028,-0.038,-0.089,0.067,85.596,0.158,0.26
64.1,-0.155,0.055,-0.287,0.147,85.430,0.161,0.46
69.1,-0.362,0.123,-0.492,0.212,85.236,0.157,0.68
71.5,-0.449,0.149,-0.583,0.240,85.154,0.162,0.77
76.2,-0.605,0.202,-0.733,0.296,85.008,0.159,0.94
81.2,-0.800,0.286,-0.926,0.383,84.830,0.159,1.15
86.2,-1.012,0.384,-1.137,0.481,84.636,0.158,1.39
91.2,-1.239,0.490,-1.366,0.588,84.430,0.161,1.63
96.2,-1.448,0.597,-1.567,0.688,84.241,0.150,1.87
101.2,-1.652,0.722,-1.771,0.810,84.061,0.148,2.11
103.8,-1.758,0.791,-1.878,0.879,83.969,0.150,2.24
108.3,-1.947,0.916,-2.070,1.005,83.803,0.152,2.46
113.3,-2.152,1.052,-2.275,1.141,83.624,0.151,2.70
118.3,-2.338,1.193,-2.463,1.279,83.466,0.152,2.95
123.3,-2.533,1.345,-2.658,1.431,83.300,0.152,3.19
128.3,-2.726,1.496,-2.849,1.582,83.138,0.150,3.43
133.3,-2.905,1.638,-3.030,1.725,82.987,0.151,3.67
136.0,-2.983,1.700,-3.107,1.788,82.922,0.152,3.77
140.4,-3.123,1.815,-3.245,1.902,82.805,0.150,3.94
145.4,-3.302,1.965,-3.425,2.054,82.657,0.152,4.17
150.4,-3.483,2.117,-3.606,2.206,82.507,0.151,4.42
155.4,-3.654,2.262,-3.778,2.350,82.366,0.152,4.64
160.4,-3.829,2.408,-3.951,2.494,82.223,0.149,4.86
165.4,-3.991,2.538,-4.115,2.624,82.089,0.152,5.08
168.3,-4.089,2.614,-4.210,2.698,82.008,0.148,5.20
172.4,-4.216,2.713,-4.342,2.801,81.902,0.153,5.36
177.4,-4.390,2.848,-4.513,2.934,81.759,0.149,5.58
182.4,-4.534,2.960,-4.660,3.048,81.640,0.153,5.76
187.4,-4.687,3.066,-4.804,3.155,81.512,0.148,5.95
192.4,-4.887,3.188,-5.004,3.280,81.340,0.149,6.18
197.4,-5.088,3.307,-5.205,3.399,81.168,0.149,6.42
200.5,-5.217,3.382,-5.333,3.473,81.057,0.147,6.56
204.5,-5.367,3.469,-5.482,3.559,80.929,0.147,6.73
209.5,-5.553,3.571,-5.668,3.661,80.768,0.146,6.95
214.5,-5.728,3.646,-5.844,3.736,80.613,0.146,7.14
219.5,-5.914,3.713,-6.032,3.806,80.445,0.150,7.34
224.5,-6.133,3.792,-6.252,3.885,80.248,0.151,7.57
229.5,-6.351,3.861,-6.475,3.956,80.050,0.156,7.81
232.8,-6.509,3.894,-6.631,3.994,79.903,0.157,7.97
236.6,-6.694,3.935,-6.817,4.033,79.731,0.157,8.15
241.6,-6.936,3.983,-7.062,4.082,79.506,0.160,8.40
246.6,-7.159,4.012,-7.288,4.115,79.294,0.166,8.62
251.6,-7.373,4.035,-7.498,4.139,79.090,0.163,8.83
256.6,-7.575,4.057,-7.704,4.162,78.899,0.167,9.05
261.6,-7.802,4.078,-7.932,4.185,78.681,0.169,9.27
265.0,-7.951,4.087,-8.079,4.196,78.539,0.168,9.42
268.6,-8.116,4.097,-8.245,4.206,78.379,0.169,9.58
273.6,-8.353,4.111,-8.484,4.221,78.152,0.171,9.82
278.6,-8.581,4.123,-8.707,4.233,77.932,0.168,10.05
283.6,-8.828,4.131,-8.958,4.243,77.694,0.172,10.30
288.6,-9.084,4.140,-9.217,4.252,77.446,0.175,10.55
293.6,-9.338,4.147,-9.468,4.261,77.201,0.173,10.81
297.3,-9.524,4.151,-9.654,4.265,77.020,0.172,10.99
300.7,-9.671,4.153,-9.803,4.268,76.878,0.175,11.14
305.7,-9.896,4.158,-10.022,4.272,76.659,0.170,11.36
310.7,-10.129,4.162,-10.262,4.277,76.433,0.176,11.60
315.7,-10.371,4.164,-10.500,4.280,76.199,0.173,11.84
320.7,-10.601,4.167,-10.733,4.282,75.976,0.176,12.07
325.7,-10.833,4.169,-10.965,4.285,75.751,0.176,12.30
329.5,-11.004,4.170,-11.134,4.286,75.584,0.174,12.47
332.8,-11.157,4.171,-11.289,4.287,75.436,0.176,12.62
337.8,-11.392,4.173,-11.522,4.289,75.207,0.173,12.86
342.8,-11.628,4.174,-11.760,4.290,74.979,0.176,13.10
347.8,-11.864,4.175,-11.993,4.291,74.749,0.173,13.33
352.8,-12.098,4.176,-12.231,4.292,74.522,0.176,13.57
357.8,-12.330,4.177,-12.458,4.293,74.296,0.173,13.80
361.8,-12.518,4.177,-12.646,4.293,74.115,0.173,13.98
364.8,-12.657,4.177,-12.788,4.294,73.979,0.175,14.13
369.8,-12.892,4.178,-13.020,4.294,73.751,0.173,14.36
374.8,-13.125,4.178,-13.253,4.295,73.525,0.173,14.60
379.8,-13.351,4.179,-13.480,4.295,73.306,0.174,14.82
384.8,-13.583,4.179,-13.713,4.295,73.080,0.175,15.05
389.8,-13.817,4.179,-13.946,4.296,72.853,0.174,15.29
394.0,-14.027,4.179,-14.159,4.296,72.650,0.176,15.50
396.9,-14.168,4.179,-14.301,4.296,72.513,0.177,15.64
401.9,-14.400,4.179,-14.427,4.296,72.288,0.119,15.87
406.9,-14.649,4.180,-14.427,4.296,72.046,0.251,16.12
411.9,-14.899,4.180,-14.427,4.296,71.803,0.487,16.36
416.9,-15.150,4.180,-14.427,4.296,71.561,0.732,16.62
421.9,-15.401,4.180,-14.636,4.296,71.318,0.773,16.87
426.3,-15.623,4.180,-14.855,4.296,71.102,0.776,17.09
429.0,-15.753,4.180,-14.985,4.296,70.976,0.777,17.22
434.0,-15.989,4.180,-15.218,4.296,70.748,0.779,17.45
439.0,-16.235,4.180,-15.470,4.296,70.509,0.774,17.71
444.0,-16.467,4.180,-15.695,4.296,70.284,0.781,17.94
449.0,-16.712,4.180,-15.942,4.296,70.048,0.779,18.18
454.0,-16.939,4.181,-16.169,4.297,69.828,0.779,18.41
458.5,-17.152,4.181,-16.382,4.297,69.622,0.778,18.62
461.0,-17.268,4.181,-16.499,4.297,69.510,0.778,18.74
466.0,-17.518,4.181,-16.751,4.297,69.268,0.776,18.99
471.0,-17.760,4.181,-16.989,4.297,69.033,0.780,19.23
476.0,-18.010,4.181,-17.242,4.297,68.791,0.778,19.48
481.0,-18.254,4.181,-17.488,4.297,68.556,0.775,19.72
486.0,-18.478,4.181,-17.612,4.297,68.339,0.874,19.95
490.8,-18.679,4.181,-17.612,4.297,68.145,1.074,20.15
493.1,-18.785,4.181,-17.612,4.297,68.043,1.178,20.26
498.1,-19.007,4.181,-17.612,4.297,67.828,1.400,20.48
503.1,-19.237,4.181,-17.612,4.297,67.606,1.629,20.70
508.1,-19.333,4.181,-17.612,4.297,67.513,1.725,20.87
513.1,-19.100,4.181,-17.612,4.297,67.739,1.492,21.11
518.1,-18.837,4.181,-17.612,4.297,67.993,1.230,21.37
523.0,-18.782,4.166,-17.610,4.297,68.042,1.180,21.43
525.2,-18.775,4.150,-17.610,4.297,68.045,1.174,21.45
530.2,-18.764,4.128,-17.610,4.297,68.049,1.167,21.47
535.2,-18.753,4.105,-17.610,4.297,68.054,1.159,21.50
540.2,-18.749,4.082,-17.610,4.297,68.052,1.159,21.52
545.2,-18.752,4.077,-17.610,4.297,68.048,1.163,21.53
550.2,-18.757,4.076,-17.610,4.297,68.043,1.168,21.53
555.2,-18.659,3.989,-17.511,4.214,68.115,1.170,21.66
557.2,-18.575,3.918,-17.428,4.144,68.178,1.169,21.77
562.2,-18.379,3.753,-17.229,3.977,68.327,1.171,22.02
567.2,-18.194,3.597,-17.046,3.822,68.467,1.170,22.27
572.2,-18.019,3.450,-16.873,3.677,68.600,1.168,22.49
577.2,-17.854,3.311,-16.705,3.535,68.726,1.171,22.72
582.2,-17.783,3.249,-16.635,3.476,68.780,1.170,22.81
587.2,-17.778,3.241,-16.635,3.476,68.783,1.167,22.82
589.3,-17.776,3.238,-16.635,3.476,68.784,1.166,22.82
594.3,-17.775,3.239,-16.635,3.476,68.785,1.165,22.82
599.3,-17.775,3.328,-16.634,3.563,68.807,1.164,22.90
604.3,-17.779,3.414,-16.640,3.648,68.824,1.163,22.99
609.3,-17.787,3.500,-16.649,3.735,68.838,1.162,23.07
614.3,-17.796,3.593,-16.658,3.825,68.851,1.161,23.16
619.3,-17.805,3.683,-16.667,3.915,68.865,1.161,23.25
621.4,-17.809,3.719,-16.671,3.952,68.870,1.161,23.29
626.4,-17.817,3.803,-16.680,4.037,68.883,1.162,23.37
631.4,-17.826,3.885,-16.688,4.119,68.895,1.162,23.46
636.4,-17.836,3.981,-16.698,4.215,68.910,1.162,23.55
641.4,-17.845,4.074,-16.707,4.308,68.924,1.162,23.64
646.4,-17.853,4.151,-16.715,4.385,68.936,1.162,23.72
651.4,-17.862,4.242,-16.725,4.476,68.950,1.161,23.82
653.4,-17.865,4.273,-16.729,4.505,68.956,1.159,23.85
658.4,-17.881,4.362,-16.755,4.588,68.963,1.148,23.94
663.4,-17.912,4.451,-16.790,4.675,68.956,1.145,24.04
668.4,-17.950,4.543,-16.828,4.766,68.943,1.144,24.13
673.4,-17.988,4.636,-16.867,4.859,68.930,1.144,24.23
678.4,-18.027,4.728,-16.905,4.951,68.917,1.144,24.33
683.4,-18.064,4.817,-16.942,5.039,68.905,1.144,24.43
685.5,-18.080,4.855,-16.958,5.079,68.899,1.144,24.47
690.5,-18.120,4.950,-16.999,5.174,68.886,1.144,24.57
695.5,-18.158,5.039,-17.039,5.255,68.873,1.140,24.67
700.5,-18.203,5.115,-17.089,5.327,68.850,1.134,24.76
705.5,-18.259,5.196,-17.145,5.407,68.818,1.134,24.86
710.5,-18.315,5.274,-17.201,5.485,68.785,1.134,24.95
715.5,-18.368,5.348,-17.256,5.561,68.754,1.133,25.04
717.6,-18.389,5.377,-17.276,5.589,68.742,1.133,25.08
722.6,-18.444,5.453,-17.331,5.665,68.710,1.133,25.17
727.6,-18.498,5.529,-17.385,5.741,68.679,1.133,25.26
732.6,-18.555,5.608,-17.443,5.821,68.646,1.133,25.37
737.6,-18.611,5.685,-17.499,5.899,68.614,1.132,25.46
742.6,-18.658,5.748,-17.547,5.962,68.586,1.131,25.54
747.6,-18.716,5.813,-17.613,6.023,68.549,1.123,25.63
749.7,-18.745,5.838,-17.643,6.049,68.528,1.122,25.67
754.7,-18.817,5.899,-17.717,6.110,68.476,1.120,25.76
759.7,-18.890,5.960,-17.789,6.170,68.423,1.121,25.85
764.7,-18.964,6.021,-17.862,6.231,68.370,1.121,25.95
769.7,-19.089,6.125,-17.989,6.336,68.279,1.120,26.11
774.7,-19.161,6.185,-18.061,6.396,68.228,1.120,26.20
779.7,-19.234,6.246,-18.132,6.455,68.175,1.121,26.30
781.7,-19.265,6.271,-18.163,6.481,68.153,1.121,26.34
786.7,-19.328,6.322,-18.228,6.532,68.107,1.121,26.42
791.7,-19.393,6.364,-18.299,6.571,68.057,1.113,26.50
796.7,-19.475,6.399,-18.382,6.605,67.989,1.112,26.58
801.7,-19.567,6.434,-18.472,6.640,67.911,1.114,26.68
806.7,-19.659,6.468,-18.565,6.674,67.833,1.113,26.78
811.7,-19.753,6.502,-18.660,6.708,67.753,1.113,26.88
813.8,-19.788,6.515,-18.697,6.722,67.723,1.110,26.92
818.8,-19.897,6.554,-18.803,6.760,67.630,1.114,27.03
823.8,-20.071,6.626,-18.999,6.824,67.485,1.090,27.23
828.8,-20.292,6.651,-19.220,6.851,67.282,1.091,27.45
833.8,-20.509,6.656,-19.436,6.859,67.076,1.093,27.67
838.8,-20.727,6.655,-19.655,6.858,66.869,1.091,27.88
