t_s,gt_x,gt_y,ekf_x,ekf_y,gt_error_m,divergence_m,gt_travelled_m
5.0,0.000,0.000,nan,nan,62.096,nan,0.00
10.0,0.000,0.000,0.000,0.000,62.096,0.000,0.00
15.0,0.002,-0.000,0.001,-0.000,62.098,0.001,0.00
20.0,0.005,0.000,0.001,-0.000,62.100,0.004,0.00
25.0,0.002,-0.008,0.001,-0.000,62.094,0.009,0.00
30.0,-0.018,-0.021,0.001,-0.000,62.070,0.028,0.03
35.0,-0.053,-0.040,0.001,-0.000,62.030,0.067,0.07
40.0,-0.089,-0.058,0.001,-0.000,61.990,0.107,0.11
45.0,-0.111,-0.067,0.001,-0.000,61.966,0.131,0.13
50.0,-0.113,-0.077,0.001,-0.000,61.960,0.137,0.14
55.0,-0.114,-0.084,0.001,-0.000,61.955,0.142,0.15
60.0,-0.116,-0.092,0.001,-0.000,61.949,0.149,0.15
65.0,-0.124,-0.105,-0.005,-0.006,61.936,0.155,0.17
70.0,-0.211,-0.175,-0.101,-0.065,61.824,0.156,0.28
75.0,-0.376,-0.249,-0.276,-0.121,61.646,0.162,0.46
80.0,-0.578,-0.292,-0.483,-0.162,61.450,0.162,0.67
85.0,-0.789,-0.328,-0.690,-0.196,61.252,0.165,0.89
90.0,-0.987,-0.359,-0.889,-0.226,61.067,0.165,1.09
95.0,-1.193,-0.384,-1.097,-0.249,60.879,0.165,1.29
100.0,-1.406,-0.405,-1.306,-0.269,60.686,0.169,1.50
105.0,-1.624,-0.425,-1.525,-0.288,60.491,0.169,1.73
110.0,-1.842,-0.444,-1.745,-0.305,60.295,0.169,1.95
115.0,-2.058,-0.458,-1.955,-0.318,60.105,0.174,2.16
120.0,-2.267,-0.468,-2.166,-0.329,59.922,0.173,2.37
125.0,-2.484,-0.479,-2.385,-0.339,59.733,0.171,2.58
130.0,-2.696,-0.487,-2.595,-0.346,59.549,0.173,2.80
135.0,-2.917,-0.493,-2.814,-0.353,59.360,0.174,3.02
140.0,-3.131,-0.499,-3.034,-0.358,59.175,0.171,3.23
145.0,-3.345,-0.504,-3.245,-0.364,58.993,0.172,3.44
150.0,-3.557,-0.508,-3.457,-0.367,58.812,0.173,3.66
155.0,-3.770,-0.512,-3.671,-0.371,58.631,0.172,3.87
160.0,-3.982,-0.515,-3.883,-0.374,58.452,0.172,4.08
165.0,-4.197,-0.518,-4.095,-0.376,58.270,0.174,4.30
170.0,-4.416,-0.520,-4.315,-0.378,58.085,0.174,4.52
175.0,-4.634,-0.522,-4.535,-0.380,57.902,0.173,4.74
180.0,-4.847,-0.523,-4.747,-0.382,57.723,0.173,4.95
185.0,-5.069,-0.525,-4.972,-0.383,57.538,0.171,5.18
190.0,-5.288,-0.526,-5.192,-0.384,57.354,0.171,5.39
195.0,-5.505,-0.527,-5.405,-0.385,57.173,0.174,5.61
200.0,-5.723,-0.528,-5.626,-0.386,56.992,0.172,5.82
205.0,-5.943,-0.528,-5.846,-0.387,56.809,0.171,6.05
210.0,-6.166,-0.529,-6.068,-0.388,56.624,0.172,6.27
215.0,-6.376,-0.529,-6.277,-0.388,56.450,0.173,6.48
220.0,-6.596,-0.530,-6.501,-0.388,56.268,0.171,6.70
225.0,-6.807,-0.529,-6.712,-0.388,56.095,0.171,6.91
230.0,-7.030,-0.529,-6.935,-0.387,55.912,0.170,7.13
235.0,-7.242,-0.528,-7.142,-0.386,55.738,0.174,7.34
240.0,-7.458,-0.524,-7.359,-0.381,55.563,0.174,7.57
245.0,-7.673,-0.517,-7.579,-0.373,55.390,0.172,7.78
250.0,-7.889,-0.510,-7.791,-0.366,55.218,0.174,7.99
255.0,-8.091,-0.497,-7.997,-0.352,55.061,0.173,8.19
260.0,-8.298,-0.471,-8.202,-0.324,54.907,0.176,8.40
